# 
Racero		; O7.1	  		; Wed 14.30 - 14.45
Raddick         ; F2                    ; Mon 15.30 - 16.00
Ramirez		; O3.3			; Mon 10.00 - 10.15
Raugh		; O7.2			; Wed 14.45 - 15.00
Renil, Rosly                      ; P4.15
Reustle, Alexander                ; P6.11
Roby, Trey                        ; P3.7
Romelli, Erik                     ; P4.16
Rubtsov, Evgenii                  ; P5.15
Rutkowski, Kristin                ; P13.14
Ryan, P. Wesley                   ; P13.15
Salgado, Jesus                    ; P10.13
Sanguillon, Michele               ; P10.14
Santos, Rafael                    ; P1.11
Schaaff, Andre                    ; P1.12
Servillat, Mathieu                ; P11.6
Shen, Robert                      ; P5.16
Shin, Min-Su                      ; P8.6
Shipman, Russell                  ; P13.16
Shirasaki, Yuji                   ; P13.17
Sihlangu, Isaac                   ; P1.13
Smith		; O5.3                  ; Thu 09.45 - 10.00
Snyder, Gregory                   ; P1.14
Solar, Martin                     ; P13.18
Solar, Mauricio                   ; P12.13
Song, Xinying                     ; P4.17
Stenborg, Travis                  ; P2.7
Stephens, Tom                     ; P13.19
#Stevens		; O8.1                  ; Wed 11.50 - 12.05    cannot come
Stoehr			; I10.1		; Tue 09.00 - 09.30
Streicher, Ole                    ; P11.7
Sutrisno, Raymond                 ; P1.15
Swade, Daryl                      ; P10.15
Tao, Yihan                        ; P1.16
Tavagnacco      ; O12.2			; Mon 12.00 - 12.15
Taylor, Mark                      ; P3.8
Teuben, Peter                     ; P13.20
Tian, Fan                         ; P12.14
Toledo		; O4.1	  		; Tue 11.45 - 12.00
Tomasi		; O4.5                  ; Thu 12.00 - 12.15
Torres, Simón                     ; P4.18
Tsutsumi, Takahiro                ; P12.15
Vahi            ; F5                    ; Wed 10.45 - 11.15
Varshney		; I3.1		; Mon 08.40 - 09.00
Vitello, Fabio                    ; P3.9
Wang, Rui                         ; P1.17
Wicenec, Andreas                  ; P10.16
Wise			; I2.1		; Thu 11.15 - 11.45
Woods, Paul                       ; P13.21
Xiao, Jian                        ; P1.18
Xu, Yang                          ; P12.16
Yamaguchi, Masayuki               ; P13.22
Yunfei, Xu                        ; P9.4
Zapart		; O3.1	  		; Mon 09.30 - 09.45
Zecevic		; O10.2			; Tue 09.45 - 10.00
Zhang, Yanxia                     ; P1.19
